Date,Air_Temp_C,Apparent_Temp_C,0-10%_Heliophile,0-10%_Photophobic,0-10%_Sun-chaser,0-10%_Shade-chaser,10-20%_Heliophile,10-20%_Photophobic,10-20%_Sun-chaser,10-20%_Shade-chaser,20-30%_Heliophile,20-30%_Photophobic,20-30%_Sun-chaser,20-30%_Shade-chaser,30-100%_Heliophile,30-100%_Photophobic,30-100%_Sun-chaser,30-100%_Shade-chaser,0-10%_Sun-preferring,0-10%_Shade-preferring,10-20%_Sun-preferring,10-20%_Shade-preferring,20-30%_Sun-preferring,20-30%_Shade-preferring,30-100%_Sun-preferring,30-100%_Shade-preferring,x_fit_AirTemp,fit_0-10%_Heliophile,fit_0-10%_Photophobic,fit_0-10%_Sun-chaser,fit_0-10%_Shade-chaser,fit_10-20%_Heliophile,fit_10-20%_Photophobic,fit_10-20%_Sun-chaser,fit_10-20%_Shade-chaser,fit_20-30%_Heliophile,fit_20-30%_Photophobic,fit_20-30%_Sun-chaser,fit_20-30%_Shade-chaser,fit_30-100%_Heliophile,fit_30-100%_Photophobic,fit_30-100%_Sun-chaser,fit_30-100%_Shade-chaser,fit_0-10%_Sun-preferring,fit_0-10%_Shade-preferring,fit_10-20%_Sun-preferring,fit_10-20%_Shade-preferring,fit_20-30%_Sun-preferring,fit_20-30%_Shade-preferring,fit_30-100%_Sun-preferring,fit_30-100%_Shade-preferring
2024/7/4,34,40.8000,78.2609,4.3478,8.6957,8.6957,69.6429,3.5714,19.6429,7.1429,43.3333,15.0000,26.6667,15.0000,19.5122,14.6341,17.0732,48.7805,86.9565,13.0435,89.2857,10.7143,70.0000,30.0000,36.5854,63.4146,,,,,,,,,,,,,,,,,,,,,,,,,
2024/7/7,33,40.5000,100.0000,0.0000,0.0000,0.0000,83.9572,1.0695,9.0909,5.8824,64.2857,2.1429,24.2857,9.2857,27.7778,11.1111,50.0000,11.1111,100.0000,0.0000,93.0481,6.9519,88.5714,11.4286,77.7778,22.2222,,,,,,,,,,,,,,,,,,,,,,,,,
2024/7/23,34,41.6000,94.6429,1.7857,3.5714,0.0000,48.3871,14.5161,29.0323,8.0645,34.8315,17.9775,28.0899,19.1011,37.8378,18.9189,17.5676,25.6757,98.2143,1.7857,77.4194,22.5806,62.9213,37.0787,55.4054,44.5946,,,,,,,,,,,,,,,,,,,,,,,,,
2024/7/24,35,42.0000,75.0000,15.9091,4.5455,4.5455,50.0000,13.8298,19.1489,17.0213,35.4167,31.2500,14.5833,18.7500,0.0000,66.6667,0.0000,33.3333,79.5455,20.4545,69.1489,30.8511,50.0000,50.0000,0.0000,100.0000,,,,,,,,,,,,,,,,,,,,,,,,,
2024/7/29,36,42.3000,88.5714,5.7143,2.8571,2.8571,61.1111,14.4444,15.5556,8.8889,33.6634,36.6337,8.9109,20.7921,25.0000,51.4706,16.1765,7.3529,91.4286,8.5714,76.6667,23.3333,42.5743,57.4257,41.1765,58.8235,,,,,,,,,,,,,,,,,,,,,,,,,
2024/8/1,33,39.8000,88.8889,7.4074,3.7037,0.0000,34.6154,25.0000,13.4615,26.9231,43.3333,33.3333,6.6667,16.6667,0.0000,20.0000,60.0000,20.0000,92.5926,7.4074,48.0769,51.9231,50.0000,50.0000,60.0000,40.0000,,,,,,,,,,,,,,,,,,,,,,,,,
2024/8/4,34,40.4000,96.4286,0.0000,2.3810,1.1905,71.6049,10.4938,9.8765,8.0247,48.9933,31.5436,7.3826,12.0805,28.9655,53.1034,10.3448,7.5862,98.8095,1.1905,81.4815,18.5185,56.3758,43.6242,39.3103,60.6897,,,,,,,,,,,,,,,,,,,,,,,,,
2024/8/5,33,40.7000,96.1538,0.0000,0.0000,3.8462,86.9159,0.9346,5.6075,6.5421,61.1111,10.3175,9.5238,19.0476,43.7500,56.2500,0.0000,0.0000,96.1538,3.8462,92.5234,7.4766,70.6349,29.3651,43.7500,56.2500,,,,,,,,,,,,,,,,,,,,,,,,,
2024/8/7,32,39.2000,86.1386,1.9802,8.9109,2.9703,59.1398,17.2043,8.6022,15.0538,32.9545,35.2273,12.5000,19.3182,28.0000,40.0000,12.0000,20.0000,95.0495,4.9505,67.7419,32.2581,45.4545,54.5455,40.0000,60.0000,,,,,,,,,,,,,,,,,,,,,,,,,
2024/8/10,34,39.2000,89.4737,1.0526,3.1579,6.3158,68.1818,11.9318,7.3864,12.5000,60.5769,25.0000,5.7692,8.6538,21.2121,56.0606,13.6364,9.0909,92.6316,7.3684,75.5682,24.4318,66.3462,33.6538,34.8485,65.1515,,,,,,,,,,,,,,,,,,,,,,,,,
2024/8/11,35,42.0000,91.7808,1.3699,4.1096,2.7397,73.0496,14.1844,2.8369,9.9291,46.3235,33.8235,8.0882,11.7647,25.8065,61.2903,9.6774,3.2258,95.8904,4.1096,75.8865,24.1135,54.4118,45.5882,35.4839,64.5161,,,,,,,,,,,,,,,,,,,,,,,,,
2024/8/12,35,42.2000,86.8263,2.9940,5.3892,4.7904,60.7843,18.9542,8.4967,11.7647,26.7176,50.3817,13.7405,9.1603,13.0435,30.4348,34.7826,21.7391,92.2156,7.7844,69.2810,30.7190,40.4580,59.5420,47.8261,52.1739,,,,,,,,,,,,,,,,,,,,,,,,,
2024/8/20,32,38.1000,76.7442,2.3256,11.6279,9.3023,43.7500,36.4583,8.3333,11.4583,26.9231,34.6154,7.6923,30.7692,,,,,88.3721,11.6279,52.0833,47.9167,34.6154,65.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,
